Topic,2013,2014,2015,2016
Business Architecture,0,1,1,1
Drones,0,1,1,1
IP Telephony,0,1,1,1
Graph Databases,1,1,2,2
Solutions powered by SAP HANA,0,1,2,2
Desktop Virtualization,0,0,1,1
Courses and Workshops,0,1,1,1
ERP Software,0,2,2,2
Text Analytics,1,1,1,1
Apex,0,2,2,2
Beginner iOS Developers,1,1,1,1
Go programming language,0,1,1,1
.NET,0,3,3,3
SAP Enterprise Solutions,0,2,3,3
MSP,0,1,1,1
golang,0,1,1,1
Underscore.js,1,1,1,1
Distributed Version Control System,0,1,1,1
General Aviation,0,0,1,1
Electronics,0,9,12,14
Content Management,0,0,2,2
document databases,1,1,2,2
Android Development,2,10,19,22
TED Conference Discussion Group,0,1,1,1
jcr,0,0,1,1
Private Cloud,0,1,1,1
Product management in agile,0,0,0,1
Learn Blogging,0,0,1,1
Scalability,0,1,1,1
Innovations in Software Testing,0,1,1,1
Mac,0,1,1,1
Growth,0,0,1,1
Infrastructure as Code,0,2,4,4
Data Analysis and Modeling,1,2,2,2
DIY Technology,0,4,4,5
Joomla Users,0,1,1,1
Siebel,0,0,1,1
Phalcon PHP,0,1,1,1
Explore: Agile Scrum XP Lean Kanban,0,0,1,1
Laravel,0,1,1,1
Scrum Master,0,0,1,2
Information & knowledge-based business processes.,0,1,1,1
Web Performance,0,2,2,2
ESP8266,0,0,0,1
Outdoor Leadership,0,1,1,1
PHP Study Group,0,1,1,1
Cloud Security,0,1,1,1
Business Conference,0,1,1,1
Joomla Extension Development,0,1,1,1
Force.com,1,3,4,4
Business Analytics,0,8,9,9
OTP,0,0,0,1
Adobe AEM,0,1,2,2
Screenwriting,0,1,1,1
Telematics,0,1,1,1
Erlang Training,0,1,1,1
Mobile Web Services,0,0,1,1
PostgreSQL,1,2,3,3
Critical Thinking,0,1,1,1
WordPress User Community,0,1,1,1
experiential learning,0,1,1,1
Drupal Theming,0,1,1,1
VMware Certified Professionals,0,0,1,1
Southeastern Conference,0,1,1,1
Service-now.com,0,1,1,1
Virtualization,2,6,10,10
"HTML, XHTML, CSS & JavaScript",1,2,2,2
.NET Content Management Systems,0,0,1,1
Virtual Reality,0,1,1,1
Artificial Intelligence,2,6,6,6
