Topic,2013,2014,2015,2016
Business Architecture,0,1,0,0
Drones,0,1,0,0
IP Telephony,0,1,0,0
Graph Databases,1,0,1,0
Solutions powered by SAP HANA,0,1,1,0
Desktop Virtualization,0,0,1,0
Courses and Workshops,0,1,0,0
ERP Software,0,2,0,0
Text Analytics,1,0,0,0
Apex,0,2,0,0
Beginner iOS Developers,1,0,0,0
Go programming language,0,1,0,0
.NET,0,3,0,0
SAP Enterprise Solutions,0,2,1,0
MSP,0,1,0,0
golang,0,1,0,0
Underscore.js,1,0,0,0
Distributed Version Control System,0,1,0,0
General Aviation,0,0,1,0
Electronics,0,9,3,2
Content Management,0,0,2,0
document databases,1,0,1,0
Android Development,2,8,9,3
TED Conference Discussion Group,0,1,0,0
jcr,0,0,1,0
Private Cloud,0,1,0,0
Product management in agile,0,0,0,1
Learn Blogging,0,0,1,0
Scalability,0,1,0,0
Innovations in Software Testing,0,1,0,0
Mac,0,1,0,0
Growth,0,0,1,0
Infrastructure as Code,0,2,2,0
Data Analysis and Modeling,1,1,0,0
DIY Technology,0,4,0,1
Joomla Users,0,1,0,0
Siebel,0,0,1,0
Phalcon PHP,0,1,0,0
Explore: Agile Scrum XP Lean Kanban,0,0,1,0
Laravel,0,1,0,0
Scrum Master,0,0,1,1
Information & knowledge-based business processes.,0,1,0,0
Web Performance,0,2,0,0
ESP8266,0,0,0,1
Outdoor Leadership,0,1,0,0
PHP Study Group,0,1,0,0
Cloud Security,0,1,0,0
Business Conference,0,1,0,0
Joomla Extension Development,0,1,0,0
Force.com,1,2,1,0
Business Analytics,0,8,1,0
OTP,0,0,0,1
Adobe AEM,0,1,1,0
Screenwriting,0,1,0,0
Telematics,0,1,0,0
Erlang Training,0,1,0,0
Mobile Web Services,0,0,1,0
PostgreSQL,1,1,1,0
Critical Thinking,0,1,0,0
WordPress User Community,0,1,0,0
experiential learning,0,1,0,0
Drupal Theming,0,1,0,0
VMware Certified Professionals,0,0,1,0
Southeastern Conference,0,1,0,0
Service-now.com,0,1,0,0
Virtualization,2,4,4,0
"HTML, XHTML, CSS & JavaScript",1,1,0,0
.NET Content Management Systems,0,0,1,0
Virtual Reality,0,1,0,0
Artificial Intelligence,2,4,0,0
